1953-12-31T12:00:00, mset,-01-01 12:41:01, gib,1954-01-12T00:55:34, ful,Vega,1954-01-18T22:43:55,lit,99.9763,dec,21.1930,ra,112.974 ,ovr:,-9.82 day,156.56
1954-12-21T12:00:00, mset,-12-22 13:37:08, gib,1955-01-02T00:46:46, ful,Vega,1955-01-08T23:24:13,lit,99.6702,dec,20.2938,ra,108.940 ,ovr:,-6.49 day,146.32
1955-12-11T12:00:00, mset,-12-12 14:33:48, gib,1955-12-23T00:57:22, ful,Vega,1955-12-30T00:04:32,lit,98.7766,dec,19.7049,ra,103.289 ,ovr:,-2.35 day,136.08
1956-12-29T12:00:00, mset,-12-30 14:56:31, gib,1957-01-10T01:32:31, ful,Vega,1957-01-16T22:50:49,lit,98.9933,dec,14.8236,ra,121.174 ,ovr:,-11.1 day,154.84
1957-12-19T12:00:00, mset,-12-20 15:39:21, gib,1957-12-30T01:10:26, ful,Vega,1958-01-05T23:35:03,lit,99.7603,dec,17.6546,ra,101.388 ,ovr:,0.374 day,143.59
1959-01-06T12:00:00, mset,-01-07 14:53:42, gib,1959-01-17T00:50:28, ful,Vega,1959-01-23T22:25:16,lit,98.9338,dec,16.4794,ra,108.179 ,ovr:,-3.28 day,161.35
1959-12-26T12:00:00, mset,-12-27 14:22:26, gib,1960-01-06T00:34:10, ful,Vega,1960-01-12T23:09:30,lit,98.8169,dec,17.5196,ra,95.7593 ,ovr:,4.070 day,150.11
1961-01-12T12:00:00, mset,-01-13 13:24:35, gib,1961-01-24T01:06:30, ful,Vega,1961-01-30T21:55:48,lit,99.2927,dec,16.6302,ra,118.521 ,ovr:,-10.5 day,168.87
1962-01-02T12:00:00, mset,-01-03 13:57:19, gib,1962-01-13T00:08:21, ful,Vega,1962-01-19T22:40:02,lit,99.3312,dec,18.9160,ra,112.217 ,ovr:,-7.73 day,157.63
1962-12-22T12:00:00, mset,-12-23 14:06:32, gib,1963-01-04T01:19:05, ful,Vega,1963-01-10T23:16:24,lit,98.7789,dec,19.6173,ra,118.499 ,ovr:,-12.5 day,148.38
1964-01-11T12:00:00, mset,-01-12 14:17:17, gib,1964-01-22T00:20:40, ful,Vega,1964-01-28T22:06:37,lit,99.9727,dec,20.0110,ra,131.251 ,ovr:,-21.7 day,166.14
1964-12-30T12:00:00, mset,-12-31 14:15:48, gib,1965-01-11T00:30:12, ful,Vega,1965-01-17T22:46:55,lit,99.6759,dec,22.6646,ra,119.296 ,ovr:,-15.1 day,155.90
1965-12-20T12:00:00, mset,-12-21 14:43:06, gib,1966-01-01T01:07:25, ful,Vega,1966-01-07T23:27:13,lit,98.9825,dec,24.5035,ra,113.405 ,ovr:,-12.3 day,145.66
1967-01-08T12:00:00, mset,-01-09 14:27:18, gib,1967-01-19T00:58:44, ful,Vega,1967-01-25T22:17:26,lit,99.7061,dec,24.2359,ra,124.742 ,ovr:,-19.9 day,163.41
