----- sTable
Date,nDay,Sunset,Sunrise,Moonrise,Moonset,MOON_when,illumination,ra,dec,TIME_when,illumination,ra,dec,VEGA_when,illumination,ra,dec
1168-08-23T12:00:00,2147905,18.841388888888886,29.15972222222222,19.76638888888889,33.769444444444446,1168-08-24T09:46:10,84.8598861694336,32.269243211764056,14.625239891097294,1168-08-24T00:00:00,87.33462524414062,28.19917170224767,12.3669469920107,1168-08-24T07:33:53,85.54088592529297,31.13409601143192,14.168745691897142
1168-08-24T12:00:00,2147906,18.805,29.186666666666667,19.981666666666666,35.155277777777776,1168-08-25T11:09:19,75.70787811279297,46.16497891036239,20.063914790795703,1168-08-25T00:00:00,79.2281723022461,41.03636259640377,17.87490180915704,1168-08-25T07:29:57,77.0601806640625,44.15913307128974,19.482059279362023
1168-08-25T12:00:00,2147907,18.76833333333333,29.213611111111113,20.254444444444445,36.59583333333333,1168-08-26T12:35:45,64.9402084350586,61.258327667367766,24.363517936222102,1168-08-26T00:00:00,69.55921936035156,54.837137401544815,22.51361703279021,1168-08-26T07:26:02,67.08189392089844,58.23644615495273,23.85622864856159
1168-08-26T12:00:00,2147908,18.731666666666666,29.240555555555556,20.629722222222224,38.03888888888889,1168-08-27T14:02:20,53.110198974609375,77.49234234989041,27.067826858117215,1168-08-27T00:00:00,58.758018493652344,69.66692033876926,25.900317544803713,1168-08-27T07:22:06,56.04676055908203,73.39298368389552,26.89366182781769
1168-08-27T12:00:00,2147909,18.69472222222222,29.2675,21.180555555555557,39.364444444444445,1168-08-28T15:21:52,40.95099639892578,94.41149068178387,27.81239671476384,1168-08-28T00:00:00,47.35384750366211,85.3534703232139,27.676956052920062,1168-08-28T07:18:10,44.50511169433594,89.38910897647152,28.232812317946344
1168-08-28T12:00:00,2147910,18.657777777777778,29.294444444444444,22.001666666666665,40.43,1168-08-29T16:25:48,29.299718856811523,111.25965472221554,26.47600178293118,1168-08-29T00:00:00,35.9536018371582,101.4575724669897,27.59932774044711,1168-08-29T07:14:14,33.09560012817383,105.71164320087769,27.650387312490974
1168-08-29T12:00:00,2147911,18.620555555555555,29.32138888888889,23.151944444444442,41.18722222222222,1168-08-30T17:11:14,18.926652908325195,127.3634489335171,23.22981427363108,1168-08-30T00:00:00,25.209129333496094,117.39473017022792,25.623930685689427,1168-08-30T07:10:18,22.50609588623047,121.7387372738649,25.149291616926075
1168-08-30T12:00:00,2147912,18.583333333333332,29.348333333333333,24.565277777777776,41.69833333333334,1168-08-31T17:41:54,10.444986343383789,142.40381625197097,18.440831066009828,1168-08-31T00:00:00,15.768806457519531,132.66361562432505,21.931659544583688,1168-08-31T07:06:22,13.412652969360352,136.989313830235,20.966809185199992
1168-08-31T12:00:00,2147913,18.546111111111113,29.375277777777775,26.08888888888889,42.05305555555556,1168-09-01T18:03:11,4.315108299255371,156.3887708260429,12.55376493064143,1168-09-01T00:00:00,8.213658332824707,147.0129523466922,16.871105872759454,1168-09-01T07:02:26,6.400578498840332,151.2670303832585,15.49935247475146
1168-09-01T12:00:00,2147914,18.50861111111111,29.4025,27.601388888888888,42.31722222222222,1168-09-02T18:19:02,0.8269460201263428,169.51819320794445,6.01854212936464,1168-09-02T00:00:00,2.987654447555542,160.45211652333575,10.867395500146086,1168-09-02T06:58:30,1.8844952583312988,164.63503900829602,9.202995622137417
1168-09-02T12:00:00,2147915,18.47111111111111,29.429444444444446,29.05361111111111,42.53222222222222,1168-09-03T18:31:56,0.0639471784234047,-177.9248925381507,-0.7479859220803081,1168-09-03T00:00:00,0.3410510718822479,173.16303673229172,4.348546099227632,1168-09-03T06:54:34,0.05283670127391815,177.30987077512808,2.520768873944288
1168-09-03T12:00:00,2147916,18.433333333333334,29.45638888888889,5.053611111111111,18.53222222222222,1168-09-03T18:31:56,0.0639471784234047,-177.92489253854737,-0.7479859220036397,1168-09-04T00:00:00,0.3065101206302643,-174.5950811016079,-2.2941163065235357,1168-09-04T06:50:38,0.8575853705406189,-170.43460606488378,-4.153192745942612
1168-09-04T12:00:00,2147917,18.395833333333332,29.483333333333334,6.444166666666667,18.725555555555555,1168-09-04T18:43:32,1.8997374773025513,-165.64154730460336,-7.37794656149243,1168-09-05T00:00:00,2.717111110687256,-162.5496773387037,-8.71956672889071,1168-09-05T06:46:43,4.052227973937988,-158.32646597410462,-10.483941598036742
1168-09-05T12:00:00,2147918,18.35777777777778,29.510555555555555,7.792222222222222,18.91777777777778,1168-09-05T18:55:04,6.038390159606934,-153.3551276984101,-13.554134954867104,1168-09-06T00:00:00,7.258682727813721,-150.4517581513996,-14.636541340717743,1168-09-06T06:42:47,9.260847091674805,-146.13021849692163,-16.192310063824138
1168-09-06T12:00:00,2147919,18.32,29.5375,9.118333333333334,19.128888888888888,1168-09-06T19:07:44,12.081267356872559,-140.8360825343444,-19.005193403139728,1168-09-07T00:00:00,13.536794662475586,-138.10157588447686,-19.79735548443486,1168-09-07T06:38:51,16.053251266479492,-133.67081457070512,-21.047692984313873
1168-09-07T12:00:00,2147920,18.28222222222222,29.564722222222223,10.435555555555556,19.38111111111111,1168-09-07T19:22:52,19.595338821411133,-127.92768006978828,-23.499212211279616,1168-09-08T00:00:00,21.137664794921875,-125.37420607171184,-23.992322027096144,1168-09-08T06:34:55,24.00441551208496,-120.85863789639585,-24.862017338936763
1168-09-08T12:00:00,2147921,18.24416666666667,29.59166666666667,11.738888888888889,19.705,1168-09-08T19:42:18,28.16548728942871,-114.57292188586774,-26.842140785150328,1168-09-09T00:00:00,29.670021057128906,-112.24577325423424,-27.04980035179587,1168-09-09T06:30:59,32.72953796386719,-107.71025374448449,-27.490564715012507
1168-09-09T12:00:00,2147922,18.20611111111111,29.61888888888889,12.996388888888887,20.14388888888889,1168-09-09T20:08:38,37.42267608642578,-100.83448745179494,-28.882964433149972,1168-09-10T00:00:00,38.78473663330078,-98.80866729822027,-28.8442349276973,1168-09-10T06:27:03,41.89563751220703,-94.35180743125753,-28.839791469688382
1168-09-10T12:00:00,2147923,18.168055555555558,29.645833333333332,14.14611111111111,20.749444444444446,1168-09-10T20:44:58,47.04744338989258,-86.88997189818684,-29.52448870786455,1168-09-11T00:00:00,48.175926208496094,-85.25693685061363,-29.30915046496772,1168-09-11T06:23:07,51.216209411621094,-80.9897666612461,-28.877208531009217
1168-09-11T12:00:00,2147924,18.130277777777778,29.673055555555557,15.115555555555556,21.564722222222223,1168-09-11T21:33:53,56.753963470458984,-72.98831193880976,-28.735084325773116,1168-09-12T00:00:00,57.569759368896484,-71.8329297280414,-28.44658016129532,1168-09-12T06:19:11,60.436065673828125,-67.84994205447902,-27.634867679171922
1168-09-12T12:00:00,2147925,18.092222222222222,29.700277777777778,15.865833333333333,22.5875,1168-09-12T22:35:15,66.25897216796875,-59.38076547334083,-26.55777191155516,1168-09-13T00:00:00,66.70709991455078,-58.75251247557019,-26.32456164077759,1168-09-13T06:15:15,69.31240844726562,-55.10923940053505,-25.201179610804424
1168-09-13T12:00:00,2147926,18.054166666666667,29.7275,16.413888888888888,23.761944444444445,1168-09-13T23:45:43,75.25538635253906,-46.2434267302903,-23.11113220447766,1168-09-14T00:00:00,75.32498168945312,-46.1441185035752,-23.062442176618152,1168-09-14T06:11:19,77.5964584350586,-42.85077553287586,-21.703986009568432
1168-09-14T12:00:00,2147927,18.016111111111112,29.75472222222222,16.810000000000002,25.01527777777778,1168-09-15T01:00:55,83.40294647216797,-33.62424926276373,-18.572183526714095,1168-09-15T00:00:00,83.14139556884766,-34.02512709280583,-18.811362677024626,1168-09-15T06:07:23,85.01937103271484,-31.05430948152414,-17.29345848577223
1168-09-15T12:00:00,2147928,17.978055555555553,29.781944444444445,17.104722222222225,26.29361111111111,1168-09-16T02:17:37,90.33106994628906,-21.43991197892121,-13.150020292149181,1168-09-16T00:00:00,89.84722137451172,-22.31183794235214,-13.74055704244672,1168-09-16T06:03:27,91.28560638427734,-19.612076713248214,-12.132458401582404
1168-09-16T12:00:00,2147929,17.94,29.809166666666666,17.33722222222222,27.574444444444445,1168-09-17T03:34:28,95.65167999267578,-9.504825683158309,-7.069550071047135,1168-09-17T00:00:00,95.1097183227539,-10.844139053893684,-8.033601188879517,1168-09-17T05:59:31,96.07789611816406,-8.35120234721001,-6.3963019504612895
1168-09-17T12:00:00,2147930,17.901944444444442,29.836388888888887,17.534166666666668,28.8575,1168-09-18T04:51:27,98.98267364501953,2.434832741709066,-0.5741511711288395,1168-09-18T00:00:00,98.59098052978516,0.5910151109119567,-1.894020755546899,1168-09-18T05:55:35,99.07589721679688,2.946872953780741,-0.28094867264665807
1168-09-18T12:00:00,2147931,17.86416666666667,29.863888888888887,17.71611111111111,30.158333333333335,1168-09-19T06:09:30,99.98681640625,14.679237075905313,6.060575296014936,1168-09-19T00:00:00,99.98240661621094,12.242273191149161,4.4431106221076435,1168-09-19T05:51:39,99.98957061767578,14.533019472317758,5.984120309513778
1168-09-19T12:00:00,2147932,17.82611111111111,29.89138888888889,17.90111111111111,31.497777777777777,1168-09-20T07:29:52,98.42034149169922,27.553851733942917,12.507022161750678,1168-09-20T00:00:00,99.05122375488281,24.378428364085423,10.697994040039546,1168-09-20T05:47:43,98.60354614257812,26.676676855730463,12.121856979051401
1168-09-20T12:00:00,2147933,17.788333333333334,29.91888888888889,18.108055555555556,32.89472222222222,1168-09-21T08:53:41,94.18379974365234,41.37322831923448,18.37028802031636,1168-09-21T00:00:00,95.68949890136719,37.26351548646353,16.53637579469468,1168-09-21T05:43:47,94.82356262207031,39.63961757949226,17.79730797525988
1168-09-21T12:00:00,2147934,17.750555555555554,29.94638888888889,18.36277777777778,34.35027777777778,1168-09-22T10:21:01,87.36583709716797,56.35684163321818,23.18891586680395,1168-09-22T00:00:00,89.95183563232422,51.106583764256484,21.570933171080185,1168-09-22T05:39:51,88.71300506591797,53.620713802169504,22.619356171334257
1168-09-22T12:00:00,2147935,17.712777777777777,29.97388888888889,18.705,35.82361111111111,1168-09-23T11:49:25,78.27782440185547,72.48178268142031,26.478655107272935,1168-09-23T00:00:00,82.07006072998047,65.97565056216042,25.38616204446482,1168-09-23T05:35:55,80.50875091552734,68.66268181292453,26.168536504976995
1168-09-23T12:00:00,2147936,17.67527777777778,30.001666666666665,19.197222222222223,37.20666666666666,1168-09-24T13:12:24,67.47381591796875,89.33668866101695,27.845237860259495,1168-09-24T00:00:00,72.44026947021484,81.69820700323743,27.600003448926024,1168-09-24T05:32:00,70.61170959472656,84.55063962189273,28.06506193136946
1168-09-24T12:00:00,2147937,17.637777777777778,30.029444444444444,19.92777777777778,38.35444444444445,1168-09-25T14:21:16,55.704254150390625,106.18269857408347,27.13557335966989,1168-09-25T00:00:00,61.58754348754883,97.82945511322133,27.95775467098964,1168-09-25T05:28:04,59.555721282958984,100.794161286481,28.069298461101287
1168-09-25T12:00:00,2147938,17.60027777777778,30.057222222222222,20.968055555555555,39.18972222222222,1168-09-26T15:11:23,43.75957107543945,122.31117715772618,24.49514724022495,1168-09-26T00:00:00,50.11888122558594,113.7751243920811,26.41483565407323,1168-09-26T05:24:08,47.962684631347656,116.7769532524504,26.164200547847443
1168-09-26T12:00:00,2147939,17.56277777777778,30.085277777777776,22.287222222222223,39.75638888888889,1168-09-27T15:45:23,32.329734802246094,137.3619745821063,20.267758052396182,1168-09-27T00:00:00,38.67469024658203,129.02488137005025,23.14886333431568,1168-09-27T05:20:12,36.49298095703125,132.0026121909061,22.558265771074684
1168-09-27T12:00:00,2147940,17.52583333333333,30.113333333333333,23.75138888888889,40.14416666666666,1168-09-28T16:08:39,22.00200843811035,151.32158322083134,14.864633114611523,1168-09-28T00:00:00,27.88364028930664,143.32323782727346,18.492054754732237,1168-09-28T05:16:16,25.795381546020508,146.25098074300007,17.608644374335476
1168-09-28T12:00:00,2147941,17.488611111111112,30.14138888888889,25.233055555555556,40.42666666666667,1168-09-29T16:25:36,13.282873153686523,164.38381745466796,8.692366659686206,1168-09-29T00:00:00,18.321237564086914,156.68023672422618,12.838042554722572,1168-09-29T05:12:20,16.458145141601562,159.56638525674637,11.72550032970466
1168-09-29T12:00:00,2147942,17.451666666666664,30.169444444444444,26.669722222222223,40.65,1168-09-30T16:39:00,6.5805816650390625,176.83226414465426,2.1277246941689056,1168-09-30T00:00:00,10.471284866333008,169.2815300176245,6.575961140420186,1168-09-30T05:08:24,8.9633207321167,172.15667046118796,5.308453609961389
1168-09-30T12:00:00,2147943,17.415,30.197777777777777,28.051944444444445,40.84472222222222,1168-10-01T16:50:41,2.169893503189087,-171.02724726054404,-4.486585069861247,1168-10-01T00:00:00,4.691995143890381,-178.6079980598472,0.06302900943809951,1168-10-01T05:04:28,3.649049997329712,-175.70342310456834,-1.2784019109289868
1168-10-01T12:00:00,2147944,17.378333333333334,30.22611111111111,29.394444444444446,41.03222222222222,1168-10-02T17:01:56,0.16987097263336182,-158.90535314105546,-10.836226492426677,1168-10-02T00:00:00,1.1923246383666992,-166.70795310823289,-6.378708593817736,1168-10-02T05:00:32,0.6875172257423401,-163.7332115618285,-7.709051545108929
